id,order_num,date,total
1,96299,10/04/22 13:32,"מסך גיימינג Monitor 2K IPS 1MS 165HZ  Gigabyte AORUS FI27Q IPS
                            

מק""ט: GBM-2720



                            ₪1,599
                        
1

₪1,599










                                אוזניות Cooler Master MH650 Gaming Headset RGB VR 7.1 Surround
                            

מק""ט: CLM-MH650



                            ₪169
                        
1

₪169










                                קירור נוזלי COOLER MASTER ML360L ARGB V2 LIQUID COOLER
                            

מק""ט: CLM-L3602



                            ₪319
                        
1

₪319










                                כרטיס מסך Gigabyte RTX 3070 GAMING OC 8GB 2.0 PCIE 4.0X16 LHR
                            

מק""ט: GVN3070302



                            ₪2,750
                        
1

₪2,750










                                נייח Antec DF600 Flux+HCG750W Z690 UD I7-12700 32GB DDR5 1TB NVME
                            

מק""ט: CS-127010



                            ₪3,870
                        
1

₪3,870"
5,100440,26/05/22 14:25,"סט מקלדת ועכבר אל-חוטי Microsoft Sculpt Ergonomic Desktop
                            

מק""ט: 9M650



                            ₪299
                        
1

₪299










                                רמקולים GENIUS SP-Q180 USB פס אפור
                            

מק""ט: US-380



                            ₪29
                        
1

₪29"
6,100511,29/05/22 10:13,"דיסק פנימי Kingston 1TB NVME Gen 3.0X4 NV1 Series 2100/1700MB/s
                            

מק""ט: KSSD-SNVS1000



                            ₪299
                        
1

₪299










                                זכרון לנייד Crucial SODIM 16GB 3200Mhz DDR4 1.2V CL22
                            

מק""ט: CR41632S



                            ₪229
                        
2

₪458










                                נייד GIGABYTE G5 15.6 i5-11400H 16GB 512NVME RTX3060P 144HZ DOS
                            

מק""ט: GBN-G5-36KD



                            ₪3,090
                        
1

₪3,090"
9,101287,06/06/22 11:08,"כבל HDMI 2.0M 4K
                            

מק""ט: 29081K



                            ₪12
                        
5

₪60










                                כרטיס מסך Gigabyte RTX 2060 12GB GV-N206D6-12GD
                            

מק""ט: GVN-2060126



                            ₪1,540
                        
1

₪1,540"
14,101683,09/06/22 02:54,"סט אלחוטי שחור 3 שפות Lenovo 510 Wireless Set Heb/Eng/Russian
                            

מק""ט: LN-KM510BR



                            ₪89
                        
1

₪89"
15,101684,09/06/22 03:05,"רמקולים GENIUS SP-Q180 USB פס אפור
                            

מק""ט: US-380



                            ₪29
                        
1

₪29"
18,103297,23/06/22 11:24,"מקלדת Microsoft Wired Keyboard 600
                            

מק""ט: 9M507



                            ₪46
                        
1

₪46"
19,103994,30/06/22 14:59,"דיסק חיצוני 2.5 Western Digital Elements 2TB
                            

מק""ט: WD-E2000



                            ₪219
                        
1

₪219










                                מסך מחשב Acer KA270 27 FHD VA 4ms Vga Hdmi VESA
                            

מק""ט: ACR-M-KA270



                            ₪530
                        
1

₪530"
20,104520,06/07/22 11:03,"מקלדת Microsoft Wired Keyboard 600
                            

מק""ט: 9M507



                            ₪46
                        
1

₪46










                                כרטיס רשת אלחוטי TPLINK TL-WN8200ND
                            

מק""ט: 916046



                            ₪59
                        
1

₪59










                                מסך Gigabyte M27Q X 27 2K 1Ms SS IPS 240HZ KVM HDR400 SPEAKERS
                            

מק""ט: GBM-2747



                            ₪1,799
                        
2

₪3,598"
21,104570,06/07/22 13:47,"מחשב מורכב דור 10 Solid/SAMA 500W H410M H i3-10100 i70 8Gb 240Ssd
                            

מק""ט: MC-1010010H



                            ₪980
                        
1

₪980"
22,105982,19/07/22 11:35,"מחשב מורכב דור 10 Solid/SAMA 500W H410M H i3-10100 i70 8Gb 240Ssd
                            

מק""ט: MC-1010010H



                            ₪1,000
                        
1

₪1,000"
24,107717,04/08/22 10:24,"נייד DELL Vostro 3510 i5-1135G7 8GB 256GB NVME 15.6 FHD DOS 3YOS
                            

מק""ט: DLN-3510-13605



                            ₪1,699
                        
1

₪1,699"
25,108872,15/08/22 12:04,"עכבר Microsoft Wireless Mobile Mouse 1850
                            

מק""ט: 9M185



                            ₪44
                        
2

₪88










                                אקסס פוינט TPLink TL-RE200 AC750 Wi-Fi Range Extender
                            

מק""ט: 916094



                            ₪129
                        
1

₪129










                                דיסק GIGABYTE AORUS NVMe Gen4 SSD 1TB GP-ASM2NE6100TTTD
                            

מק""ט: 94SSD11001



                            ₪399
                        
1

₪399










                                מארז גיימינג כולל מאוורר ARGB אחורי Antec NX400 Mid Tower
                            

מק""ט: AN1-NX400



                            ₪175
                        
1

₪175










                                רמקולים Black Creative Pebble Plus 2.1 USB
                            

מק""ט: 18048



                            ₪125
                        
1

₪125










                                זכרון לנייח Crucial DDR4 8GB 2666Mhz CL19 Basic Series
                            

מק""ט: CR48266U



                            ₪99
                        
2

₪198










                                קירור נוזלי COOLER MASTER ML360L ARGB V2 LIQUID COOLER
                            

מק""ט: CLM-L3602



                            ₪319
                        
1

₪319










                                סט גיימינג חוטי Cooler Master MS110 RGB HEB+ENG
                            

מק""ט: CLM-KM3110



                            ₪159
                        
1

₪159










                                מעבד INTEL Core i5-11400F Tray 12MB LGA1200 65W NO GPU No FAN
                            

מק""ט: II511400FT



                            ₪530
                        
1

₪530










                                כ.מסך Gigabyte RTX 3060 12GB EAGLE OC 2.0 PCIE4.0 LHR
                            

מק""ט: GVN30601216



                            ₪1,470
                        
1

₪1,470










                                מתאם Cooler Master LGA1700 adapter MASTER LIQUID Series
                            

מק""ט: CLM-B175870



                            ₪0
                        
1

₪19










                                לוח דור 11 Gigabyte H510M S2H V2 1.3 LGA1200 PCIE 4.0 DVI DP HDMI
                            

מק""ט: 95H51008



                            ₪265
                        
1

₪265










                                Solid F270M FHD VA 5ms VGA HDMI Speakers SuperSlim Frameless Blac
                            

מק""ט: SLM-F270M



                            ₪399
                        
1

₪399"
27,108946,15/08/22 22:17,"קירור נוזלי כפול Cooler Master ML240 Illusion 240mm RGB
                            

מק""ט: CLM-L2440



                            ₪329
                        
1

₪329"
28,108950,15/08/22 22:49,"רמקולים GENIUS SP-Q180 USB פס אפור
                            

מק""ט: US-380



                            ₪29
                        
1

₪29"
32,112682,14/09/22 13:14,"עכבר LENOVO 530 Wireless Mouse Platinum Grey
                            

מק""ט: LN-530-84



                            ₪39
                        
2

₪78










                                חלקים SOLID 500W H510M H I5-11400 T200 8GB 2666MHZ 500NVME
                            

מק""ט: MC-115110



                            ₪1,250
                        
1

₪1,250"
38,114325,01/10/22 19:29,"לוח אם GIGABYTE B550 AORUS ELITE AX V2 RGB
                            

מק""ט: 95B55037



                            ₪555
                        
1

₪555










                                קירור נוזלי כפול ANTEC VORTEX 240 ARGB include Controller
                            

מק""ט: AN3-V2400



                            ₪299
                        
1

₪299"
42,115216,11/10/22 20:16,"כרטיס רשת אלחוטי TPLINK TL-WN722N USB
                            

מק""ט: 916032



                            ₪42
                        
4

₪168










                                חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪1,009
                        
1

₪1,009"
